"name","brand","ean","price","grammage","category","sale","image"
"Salatgurke 1 Stück","None","8436000259209","0.95","1 Stück","Obst & Gemüse","False","https://img.rewe-static.de/0483303/24569873_digital-image.png"
"Cherry Romatomaten 250g","REWE","3760375910157","0.99","250g (1 kg = 3,96 €)","Obst & Gemüse","True","https://img.rewe-static.de/1033906/23292477_digital-image.png"
"Chiquita Banane ca. 200g","Chiquita","27230923","0.46","1 Stück ca. 200 g (1 kg = 2,29 €)","Obst & Gemüse","False","https://img.rewe-static.de/7230923/24568904_digital-image.png"
"Paprika rot 500g","REWE Beste Wahl","7445906486443","1.89","500g (1 kg = 3,78 €)","Obst & Gemüse","False","https://img.rewe-static.de/1902921/34525189_digital-image.png"
"Tafeltrauben hell kernlos 500g","None","8906163440009","2.99","500g (1 kg = 5,98 €)","Obst & Gemüse","False","https://img.rewe-static.de/1105044/21306366_digital-image.png"
"Clementinen 1kg im Netz","None","4055379000522","1.49","1 Stück","Obst & Gemüse","True","https://img.rewe-static.de/1055132/23270610_digital-image.png"
"REWE Bio Gurke 1 Stück","REWE Bio","7610632984741","1.59","1 Stück","Obst & Gemüse","False","https://img.rewe-static.de/7359497/24569872_digital-image.png"
"REWE Beste Wahl Clementinen 750g im Netz","None","4337185355448","3.29","1 Stück","Obst & Gemüse","False","https://img.rewe-static.de/8380889/30248452_digital-image.png"
"Lauchzwiebeln im Bund","None","20482404","0.95","1 Stück","Obst & Gemüse","False","https://img.rewe-static.de/0482404/7360070_digital-image.png"
"Eisbergsalat 1 Stück","None","4003721021237","0.89","1 Stück","Obst & Gemüse","True","https://img.rewe-static.de/0482595/24570316_digital-image.png"
"REWE Beste Wahl Romana Salatherzen 3 Stück","REWE Beste Wahl","4335896378077","1.79","3 Stück","Obst & Gemüse","False","https://img.rewe-static.de/1043421/21454590_digital-image.png"
"Kaki 1 Stück","None","20024635","0.49","1 Stück","Obst & Gemüse","False","https://img.rewe-static.de/0024635/24569463_digital-image.png"
"Broccoli 500g","None","4049733023043","1.39","500g (1 kg = 2,78 €)","Obst & Gemüse","True","https://img.rewe-static.de/1007433/21403678_digital-image.png"
"Karotten 2kg","None","4260093590963","0.99","2kg (1 kg = 0,50 €)","Obst & Gemüse","True","https://img.rewe-static.de/8339524/30105634_digital-image.png"
"Rispentomaten ca. 100g","None","20475369","0.22","1 Stück ca. 100 g (1 kg = 2,22 €)","Obst & Gemüse","True","https://img.rewe-static.de/0475360/30888821_digital-image.png"
"REWE Beste Wahl Banane ca. 200g","REWE Beste Wahl","22590541","0.4","1 Stück ca. 200 g (1 kg = 1,99 €)","Obst & Gemüse","False","https://img.rewe-static.de/1028378/33873287_digital-image.png"
"REWE Bio Champignons braun 250g","REWE Bio","27952450","2.49","250g (1 kg = 9,96 €)","Obst & Gemüse","False","https://img.rewe-static.de/8312738/29439264_digital-image.png"
"Avocado Hass essreif 1 Stück","None","8717428071131","1.69","1 Stück","Obst & Gemüse","False","https://img.rewe-static.de/0151854/25018105_digital-image.png"
"Zucchini grün ca. 220g","None","20482169","0.5","1 Stück ca. 220 g (1 kg = 2,29 €)","Obst & Gemüse","False","https://img.rewe-static.de/0482161/24570156_digital-image.png"
"Mini Gurke 1 Stück","None","28297796","0.59","1 Stück","Obst & Gemüse","False","https://img.rewe-static.de/7238557/28430588_digital-image.png"
"REWE Bio Speisemöhren 1kg","REWE Bio","4260640960010","1.59","1kg","Obst & Gemüse","False","https://img.rewe-static.de/2588140/24343912_digital-image.png"
"Porree 1 Stück","None","28311843","0.79","1 Stück","Obst & Gemüse","False","https://img.rewe-static.de/8311846/7360610_digital-image.png"
"Kartoffeln festkochend 2kg","None","27157640","2.39","2kg (1 kg = 1,20 €)","Obst & Gemüse","False","https://img.rewe-static.de/8035226/31571721_digital-image.png"
"Suppengrün 500g","None","4022538299035","1.59","1 Stück","Obst & Gemüse","False","https://img.rewe-static.de/0482293/7360910_digital-image.png"
